,Duration,Type,Call Status,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
866,71,Service,Existing Customer Prospect,1066672637.0,1,0.9659258262890682,0.49999999999999994,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,1.1943401194869635e-15
879,69,Current Customer,Current Customer,1061808956.0,1,1.0,0.7071067811865476,0.258819045102521,-0.8660254037844385,0.5000000000000001,0.49999999999999933
892,63,Service,New Prospect,1059485520.0,1,1.0,0.49999999999999994,-0.25881904510252035,-0.8660254037844385,0.8660254037844387,1.0
909,323,Service,Existing Customer Prospect,729587405.0,1,0.5000000000000003,0.25881904510252074,0.7071067811865476,-1.8369701987210297e-16,1.0,-0.5000000000000004
915,254,Service,New Prospect,735310556.0,1,0.258819045102521,0.7071067811865476,0.5000000000000003,0.49999999999999933,0.5000000000000001,-1.8369701987210297e-16
965,315,Service,New Prospect,708934422.0,0,0.9659258262890683,0.7071067811865476,-0.25881904510252035,-1.0,0.5000000000000001,1.0
967,59,Service,New Prospect,1054410720.0,0,0.9659258262890683,0.49999999999999994,0.7071067811865476,-1.0,0.8660254037844387,-0.5000000000000004
969,315,Service,New Prospect,693223565.0,0,0.9659258262890682,0.49999999999999994,0.7071067811865476,-0.4999999999999998,0.8660254037844387,-0.5000000000000004
975,180,Service,Existing Customer Prospect,693335317.0,0,0.9659258262890682,0.49999999999999994,-0.25881904510252035,-0.4999999999999998,0.8660254037844387,1.0
981,156,Service,Existing Customer Prospect,706490920.0,0,0.9659258262890683,0.25881904510252074,0.5000000000000003,-1.0,1.0,-1.8369701987210297e-16
987,134,Service,Existing Customer Prospect,710293474.0,0,0.8660254037844387,0.49999999999999994,0.258819045102521,-0.8660254037844388,0.8660254037844387,0.49999999999999933
993,313,Service,New Prospect,730374194.0,1,0.5000000000000003,0.7071067811865476,-0.7071067811865471,-1.8369701987210297e-16,0.5000000000000001,0.5000000000000004
1003,185,Sales,New Prospect,665820027.0,1,0.25881904510252074,0.8660254037844386,-2.4492935982947064e-16,1.0,6.123233995736766e-17,0.8660254037844378
1013,178,Service,New Prospect,1033721054.0,1,0.258819045102521,0.7071067811865476,0.258819045102521,0.49999999999999933,0.5000000000000001,0.49999999999999933
