,Duration,Type,Call Status,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
1216,160,Service,Existing Customer Prospect,729650216.0,1,0.5000000000000003,0.25881904510252074,0.258819045102521,-1.8369701987210297e-16,1.0,0.49999999999999933
1239,147,Service,New Prospect,1040093481.0,0,0.5000000000000003,0.0,-0.4999999999999997,-1.8369701987210297e-16,0.8660254037844387,0.866025403784439
1244,197,Service,Existing Customer Prospect,729275533.0,1,0.5000000000000003,0.0,0.5000000000000003,-1.8369701987210297e-16,0.8660254037844387,-1.8369701987210297e-16
1247,271,Service,New Prospect,1049186837.0,1,0.8660254037844387,0.7071067811865476,-0.4999999999999997,-0.8660254037844388,0.5000000000000001,0.866025403784439
1250,386,Service,Existing Customer Prospect,728304677.0,0,0.5000000000000003,0.49999999999999994,-0.8660254037844385,-1.8369701987210297e-16,0.8660254037844387,1.1943401194869635e-15
1252,306,Service,Existing Customer Prospect,728164149.0,1,0.5000000000000003,0.49999999999999994,0.258819045102521,-1.8369701987210297e-16,0.8660254037844387,0.49999999999999933
1257,147,Service,Existing Customer Prospect,727950526.0,1,0.5000000000000003,0.25881904510252074,-0.7071067811865471,-1.8369701987210297e-16,1.0,0.5000000000000004
1302,246,Service,Existing Customer Prospect,725140547.0,1,0.7071067811865476,0.8660254037844386,0.7071067811865476,-0.5000000000000004,6.123233995736766e-17,-0.5000000000000004
1348,323,Service,Existing Customer Prospect,726930079.0,0,0.5000000000000003,0.8660254037844386,0.7071067811865476,-1.8369701987210297e-16,6.123233995736766e-17,-0.5000000000000004
1351,127,Current Customer,Current Customer,1042621029.0,0,0.5000000000000003,0.0,-2.4492935982947064e-16,-1.8369701987210297e-16,0.8660254037844387,0.8660254037844378
1354,74,Service,Left Message/Voice Mail,721469529.0,0,0.7071067811865476,0.7071067811865476,-0.7071067811865471,-0.5000000000000004,0.5000000000000001,0.5000000000000004
1357,66,Other,Other,721299255.0,0,0.7071067811865476,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.5000000000000001,-0.5000000000000004
1360,223,Service,Existing Customer Prospect,1046070983.0,0,0.7071067811865476,0.25881904510252074,0.5000000000000003,-0.5000000000000004,1.0,-1.8369701987210297e-16
1363,103,Other,Left Message/Voice Mail,720489779.0,0,0.7071067811865476,0.0,-0.4999999999999997,-0.5000000000000004,0.8660254037844387,0.866025403784439
1366,45,Other,Other,1046248165.0,0,0.7071067811865476,0.0,-2.4492935982947064e-16,-0.5000000000000004,0.8660254037844387,0.8660254037844378
1369,124,Service,Existing Customer Prospect,1047406570.0,0,0.7071067811865476,0.25881904510252074,0.8660254037844387,-0.5000000000000004,1.0,-0.8660254037844388
1372,186,Service,New Prospect,1042378388.0,1,0.5000000000000003,0.25881904510252074,-2.4492935982947064e-16,-1.8369701987210297e-16,1.0,0.8660254037844378
1377,152,Service,Existing Customer Prospect,713275788.0,1,0.8660254037844387,0.0,-2.4492935982947064e-16,-0.8660254037844388,0.8660254037844387,0.8660254037844378
1382,261,Current Customer,Current Customer,725824457.0,0,0.5000000000000003,0.0,-0.4999999999999997,-1.8369701987210297e-16,0.8660254037844387,0.866025403784439
1386,159,Service,New Prospect,1043521305.0,0,0.7071067811865476,0.25881904510252074,-0.8660254037844385,-0.5000000000000004,1.0,1.1943401194869635e-15
1393,219,Service,Disconnected in Progress,725147221.0,1,0.7071067811865476,0.8660254037844386,0.7071067811865476,-0.5000000000000004,6.123233995736766e-17,-0.5000000000000004
1399,257,Current Customer,Current Customer,724315732.0,1,0.7071067811865476,0.25881904510252074,-2.4492935982947064e-16,-0.5000000000000004,1.0,0.8660254037844378
1405,106,Service,New Prospect,1061029904.0,1,1.0,0.25881904510252074,0.5000000000000003,-0.8660254037844385,1.0,-1.8369701987210297e-16
1412,287,Service,Existing Customer Prospect,1043926336.0,1,0.7071067811865476,0.0,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
1435,98,Service,Answering Service/Call Center,1047659242.0,1,0.7071067811865476,0.9659258262890682,0.8660254037844387,-0.5000000000000004,-0.4999999999999998,-0.8660254037844388
1458,184,Service,New Prospect,1057602303.0,1,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1481,159,Service,Answering Service/Call Center,704211629.0,1,0.9659258262890683,0.0,0.9659258262890683,-1.0,0.8660254037844387,-1.0
1506,198,Service,New Prospect,723148406.0,1,0.7071067811865476,0.7071067811865476,-2.4492935982947064e-16,-0.5000000000000004,0.5000000000000001,0.8660254037844378
1507,124,Service,Existing Customer Prospect,723059400.0,0,0.7071067811865476,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.5000000000000001,-0.5000000000000004
1534,204,Service,New Prospect,722767532.0,0,0.7071067811865476,0.49999999999999994,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
1541,342,Service,Existing Customer Prospect,1045158953.0,1,0.7071067811865476,0.0,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
